The Bloodthirster,3072,0.902960,0.597579
Sightstone,2049,1.390490,0.492783
Ravenous Hydra (Melee Only),3074,0.758850,0.550359
Thornmail,3075,0.574950,0.520567
Ruby Crystal,1028,0.592610,0.437455
Cloth Armor,1029,0.490660,0.414809
Trinity Force,3078,0.696710,0.568615
Chain Vest,1031,0.386760,0.440144
Null-Magic Mantle,1033,0.297500,0.459664
Warden's Mail,3082,0.401990,0.435583
Warmog's Armor,3083,0.268540,0.561965
Long Sword,1036,0.431390,0.434294
Pickaxe,1037,0.539210,0.447692
B. F. Sword,1038,0.486590,0.534084
Statikk Shiv,3087,1.055430,0.532077
Rabadon's Deathcap,3089,0.973330,0.589245
Dagger,1042,0.192120,0.388455
Wit's End,3091,0.069510,0.627679
Frost Queen's Claim,3092,0.225070,0.524281
Avarice Blade,3093,0.112720,0.390170
Nomad's Medallion,3096,0.043630,0.374055
Targon's Brace,3097,0.104370,0.375395
Frostfang,3098,0.063370,0.453053
Brawler's Gloves,1051,0.063010,0.398508
Amplifying Tome,1052,0.556300,0.446683
Vampiric Scepter,1053,0.504510,0.457454
Banshee's Veil,3102,0.445920,0.549336
Doran's Blade,1055,1.381800,0.460414
Doran's Ring,1056,0.905690,0.463967
Negatron Cloak,1057,0.154460,0.484333
Needlessly Large Rod,1058,0.706220,0.539563
Fiendish Codex,3108,0.089410,0.415054
Frozen Heart,3110,0.723360,0.560606
Mercury's Treads,3111,1.253450,0.522446
Aether Wisp,3113,0.169450,0.413455
Forbidden Idol,3114,0.076000,0.434474
Nashor's Tooth,3115,0.137510,0.558505
Rylai's Crystal Scepter,3116,0.344190,0.592638
Boots of Mobility,3117,1.677580,0.508417
Guinsoo's Rageblade,3124,0.006480,0.631173
Zeal,3086,0.259470,0.446950
The Black Spear,3599,0.000650,0.184615
The Brutalizer,3134,0.188460,0.445187
Void Staff,3135,0.371990,0.590527
Haunting Guise,3136,0.096820,0.501962
Mercurial Scimitar,3139,0.067800,0.597640
Quicksilver Sash,3140,0.107820,0.542756
Sword of the Occult,3141,0.011670,0.748072
Youmuu's Ghostblade,3142,0.529340,0.575490
Randuin's Omen,3143,1.211180,0.536460
Bilgewater Cutlass,3144,0.181870,0.396437
Hextech Revolver,3145,0.020930,0.457238
Hextech Gunblade,3146,0.061380,0.516292
Liandry's Torment,3151,0.329710,0.585211
Will of the Ancients,3152,0.123050,0.515969
Blade of the Ruined King,3153,1.507870,0.545020
Hexdrinker,3155,0.140430,0.493199
Maw of Malmortius,3156,0.180830,0.572361
Zhonya's Hourglass,3157,1.121770,0.549676
Ionian Boots of Lucidity,3158,0.733850,0.536063
Elixir of Ruin,2137,0.001610,0.453416
Elixir of Iron,2138,0.004370,0.501144
Elixir of Sorcery,2139,0.006370,0.514914
Elixir of Wrath,2140,0.006520,0.490798
Morellonomicon,3165,0.571590,0.530800
Blasting Wand,1026,0.520570,0.481895
Zephyr,3172,0.030770,0.649009
Athene's Unholy Grail,3174,0.252330,0.511513
Recurve Bow,1043,0.103910,0.424213
Locket of the Iron Solari,3190,0.315920,0.592872
Seeker's Armguard,3191,0.163780,0.386006
Stalker's Blade,3706,0.036280,0.378721
Enchantment: Warrior,3707,0.431580,0.477710
Enchantment: Runeglaive,3708,0.090220,0.514742
Enchantment: Cinderhulk,3709,0.183250,0.494352
Perfect Hex Core,3198,0.057150,0.534033
Poacher's Knife,3711,0.001050,0.295238
Sapphire Crystal,1027,0.046550,0.462943
Ranger's Trailblazer,3713,0.016360,0.389976
Enchantment: Warrior,3714,0.033000,0.484848
Skirmisher's Sabre,3715,0.006380,0.319749
Enchantment: Runeglaive,3716,0.025010,0.507397
Enchantment: Cinderhulk,3717,0.085580,0.481655
Enchantment: Devourer,3718,0.037830,0.128998
Enchantment: Warrior,3719,0.001640,0.396341
Enchantment: Runeglaive,3720,0.003540,0.516949
Enchantment: Cinderhulk,3721,0.005760,0.435764
Enchantment: Devourer,3722,0.007300,0.171233
Spectre's Cowl,3211,0.414030,0.459242
Enchantment: Runeglaive,3724,0.133490,0.518840
Enchantment: Cinderhulk,3725,0.214380,0.509982
Enchantment: Devourer,3726,0.029650,0.149410
Mikael's Crucible,3222,0.122640,0.584964
Bami's Cinder,3751,0.120820,0.456464
Lich Bane,3100,0.332610,0.532696
Stinger,3101,0.021730,0.497469
Doran's Shield,1054,0.200720,0.452471
Aegis of the Legion,3105,0.077390,0.540897
Luden's Echo,3285,0.896200,0.563055
Righteous Glory,3800,0.322650,0.585867
Crystalline Bracer,3801,0.135550,0.475175
Raptor Cloak,2053,0.012230,0.569910
Ancient Coin,3301,0.038190,0.386750
Relic Shield,3302,0.090850,0.401211
Spellthief's Edge,3303,0.070450,0.458907
The Hex Core mk-1,3196,0.011360,0.386444
The Hex Core mk-2,3197,0.025560,0.505869
Health Potion,2003,0.925550,0.366409
Enchantment: Devourer,3710,0.075970,0.153482
Chalice of Harmony,3028,0.067690,0.497267
